activity,further_details,before_start,min_level,max_level,why,language,header_level,python,r,javascript
Code Structure,,,,,,,3,,,
"Clear separation of parameters, data, and code.  The structure of your project should be based on one of our templates.",,"Consult the templates before you start, to think about how they apply to your project.  TODO:  Build templates.  Could this be a ‘conceptual’ template rather than language specific?",1,5,"This separates your logic (your code) from the data, assumptions and parameters that power your work. It should be easy for others to change parameters and data without needing to understand the full codebase.",,1,"For Python, use [pylint](https://www.pylint.org/) and follow [PEP8](https://www.python.org/dev/peps/pep-0008/) and particularly [PEP257](https://www.python.org/dev/peps/pep-0257/).","For R, use [this](https://github.com/jimhester/lintr), and use [Hadley’s Style Guide](http://r-pkgs.had.co.nz/style.html)",
"You have applied the relevant linter to your code, and considered addressing any issues.",,"If you apply the linter as you work, rather than at the end, you will find it much easier to write code that passes the linter first time.",1,2,This means our coding style will be consistent across projects.  It will also make it easier for others to understand our code.,,1,,,
Your code should (but not must) pass the relevant linter,,"If you apply the linter as you work, rather than at the end, you will find it much easier to write code that passes the linter first time.",3,4,This means our coding style will be consistent across projects.  It will also make it easier for others to understand our code.,,1,,,
Your code must pass the relevant linter.,,"If you apply the linter as you work, rather than at the end, you will find it much easier to write code that passes the linter first time.",5,5,This means our coding style will be consistent across projects.  It will also make it easier for others to understand our code.,,1,,,
"Appropriate use of abstractions like functions, packages, modules etc, which has been reviewed by language expert. ","Generally, most code should be factored out into functions or other abstractions, and functions should be less than about 50 lines long.","Consult the template for a basic structure.  At a high level, plan how you’re going to structure your code and talk this through with a language expert before you start",1,5,"Makes code easier to understand, maintain, and extend.",,1,"For Python, you should factor code out into modules.","For R, you should use packages as fundamental units of code.","In javascript, you should generally be using multiple `.js` files.  For visualisation code, there should be a separation of concerns between the data model, and the code that visualises your data. "
"If using a notebook (e.g. an R or Jupyter notebook) for your write up, functions are factored out to maintain narrative.","Notebooks can also be useful for other purposes, such as functioning as a way of describing exploratory analysis.  Where notebooks are used for this type of purpose, they can be more free-form.",,2,5,This makes your logic easier to follow,,1,"For Python, code should be factored out into modules.","For R, factor out code either into a `source()`ed `.R` file or a package",
Reproducibility,,,,,,,3,,,
"If the output is a report, the write up is fully reproducible, or as close as possible. "," Avoid workflows that require manually copying and pasting results between documents.  Your code should be [DRY](https://github.com/moj-analytical-services/our-coding-standards/blob/master/correct_clear_concise.md), so if If the result of a calculations are used multiple times in a report, that calculation should be defined once in a function, and called multiple times.",,1,5,"If we need to review or update the output at a later date, we know how we came to earlier results.",,1,"For Python, consider using Jupyter notebooks.","For R, use `rmarkdown`",
Development workflow,,,,,,,3,,,
Code is version controlled using Git and checked into Github,,,1,5,Your work is transparent and discoverable by others and there's a 'single version of the truth' for code.,,1,,You can find a guide to using Git with R [here](http://happygitwithr.com/),
The project is developed using [Git flow](https://guides.github.com/introduction/flow/). ,,,3,5,"You are able to maintain a continuously quality controlled 'master' version of the code, whilst also being able to test new featurs and functionality",,1,,,
"The 'Master' branch is protected, and contains only QAed code",,"When you create your git project using `git init`, immediately branch off to a development branch e.g. using `git checkout -b dev`, and work on this branch.  Merge code into master using pull requests in github.",4,5,A protected master branch guarantees that all pull requests have been reviewed before they are merged.,,1,,,
